size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
Onesize,CHRISTY,cotton,Grey,,"Set content: 2 pillow coversShape: RectangularColour: Grey and off-whiteSize: 20'' x 29.5''Print/Pattern: Jacquard patterned
Dimensions: 50 cm x 76 cm (height x width) each
100% cottonMachine-wash
Give your bedroom a makeover with these upbeat pillow covers from House This. Made from a durable fabric, these are easy to maintain as well.",Set content: 2 pillow coversShape: RectangularColour: Grey and off-whiteSize: 20'' x 29.5''Print/Pattern: Jacquard patterned,Home/Unisex/Pillow Covers/CHRISTY/More by CHRISTY,898,2995,Unisex,In Stock
L,Libas,Rayon,Yellow,Straight Kurta,"Yellow and golden block print straight kurta, has a keyhole neck with hook-and-eye closure, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
RayonDry-clean
You'll love the elegant design and fit of this stunning kurta from Libas.  Look chic for the day with this yellow kurta and leggings.","Yellow and golden block print straight kurta, has a keyhole neck with hook-and-eye closure, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Libas/More by Libas,989,1799,Women,In Stock
L,Ethnicity,Polyester,Yellow,Kurta with Churidar,"Yellow printed kurta with churidarYellow straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white solid churidar, drawstring closureÂ 
The model (height 6') is wearing a size M
Complete your look with this kurta from Ethnicity.  Dress this yellow piece up with your favourite accessories and head out to any family event in style.
Top fabric: 100% PolyesterBottom fabric: 100% PolyesterDry-clean","Yellow printed kurta with churidarYellow straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white solid churidar, drawstring closureÂ ",Clothing/Men/Kurta Sets/Ethnicity/More by Ethnicity,2799,2799,Men,In Stock
XXL,Abhiyuthan,Cotton,Maroon,Straight Kurta,"Maroon striped straight kurta, has a mandarin collar, short sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Cotton   Machine-wash
Flaunt your style with a kurta from Abhiyuthan.  You'll look dapper as ever in this maroon piece paired with slim jeans and sandals, ideal for any nice family gathering.","Maroon striped straight kurta, has a mandarin collar, short sleeves, straight hem, side slits",Clothing/Men/Kurtas/Abhiyuthan/More by Abhiyuthan,908,1398,Men,In Stock
33,Abhishti,Cotton,White | Green | Sea Green,Flared Palazzo,"A pair of sea green and white solid woven flared palazzos
The model (height 5'8"") is wearing a size 28
Polycotton Dry-clean
Perfect for spring weather, these green palazzos from Abhishti are cozy and playful.  Be sure to pair them up with a sleek tank and gladiator sandals for a chic look.",A pair of sea green and white solid woven flared palazzos,Clothing/Women/Palazzos/Abhishti/More by Abhishti,1079,1199,Women,Out of Stock
XL,British Club,Cotton,Blue,Straight Kurta,"Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits
The model (height 6') is wearing a size M
Sport this classic kurta from British Club this season.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.
Cotton Machine-wash","Blue solid straight kurta, has a mandarin collar, long sleeves, curved hem, side slits",Clothing/Men/Kurtas/British Club/More by British Club,897,1795,Men,In Stock
L,I Know,Viscose Rayon,Blue | White | Navy,Straight Kurta,"Navy Blue and white colourblocked straight kurta, has a round neck, long sleeves, straight hem, multiple slits
The model (height 6') is wearing a size M
This in-style kurta from I Know is a must-have for any wardrobe.  Achieve a comfortably chic look for your next dinner party or family outing when you team this navy blue piece with slim trousers and minimal flair.
Viscose Rayon  Dry-clean","Navy Blue and white colourblocked straight kurta, has a round neck, long sleeves, straight hem, multiple slits",Clothing/Men/Kurtas/I Know/More by I Know,1639,4099,Men,Out of Stock
XL,Libas,Viscose Rayon,Green,Straight Kurta,"Green yoke design straight kurta, has a round neck, short sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Viscose Rayon Machine-wash
You'll love the elegant design and fit of this stunning kurta from Libas.  Look chic for the day with this green kurta and leggings.","Green yoke design straight kurta, has a round neck, short sleeves, straight hem, side slits",Clothing/Women/Kurtas/Libas/More by Libas,399,999,Women,In Stock
Onesize,Dupatta Bazaar,Chanderi,Beige | Black,Dupatta,"Beige and black floral&nbsp;block print&nbsp;dupatta, has a&nbsp;zari border,&nbsp;tassels on the ends
Length: 2.3 metres Width: 0.8 metres
Chanderi cotton silk Hand-wash cold
Complete your ethnic attire with this beautiful dupatta from&nbsp;Dupatta Bazaar. Team it with a kurta, leggings and heels for a desi look.","Beige and black floral&nbsp;block print&nbsp;dupatta, has a&nbsp;zari border,&nbsp;tassels on the ends",Clothing/Women/Dupatta/Dupatta Bazaar/More by Dupatta Bazaar,404,449,Women,In Stock
4-5Y,pspeaches,Silk,Orange | Purple,Kurta with Sharara & Dupatta,"Orange and purple yoke design kurta with sharara and dupatta  Orange and purple straight above knee kurta, has a round neck, three-quarter sleeves, side slits Orange and purple  solid sharara, has elasticated waistband, drawstring closure Orange and purple self design dupatta, has taping border
Kurta fabric: art silk Bottom fabric: supernet Dupatta fabric: net Dry-clean
Fulfill your fashionable little girl's style desire with this orange kurta set from pspeaches.  Create the perfect dress up look by pairing this this kurta set with your favorite flats and bangles.","Orange and purple yoke design kurta with sharara and dupatta  Orange and purple straight above knee kurta, has a round neck, three-quarter sleeves, side slits Orange and purple  solid sharara, has elasticated waistband, drawstring closure Orange and purple self design dupatta, has taping border",Clothing/Girls/Kurta Sets/pspeaches/More by pspeaches,1350,4500,Girls,Out of Stock
XL,Anouk,Cotton,Brown | Olive | Green | Mustard,Kurta with Churidar & Dupatta,"Olive green and mustard brown printed kurta with churidar and dupatta Olive green printed A-line calf-length kurta, has a mandarin collar, three-quarter sleeves, flared hem Mustard brown solid churidar, has an elasticated waistband Mustard brown solid dupatta, had a printed border
The model (height 5'8"") is wearing a size S
Kurta fabric: pure cotton Bottom fabric: pure cotton Dupatta fabric: pure cotton Hand-wash
Look beautiful and polished, even during simple occasions, in this green kurta set from Anouk.  Perfect for breezy summer days, accessorize this kurta set with gold statement jewellery.","Olive green and mustard brown printed kurta with churidar and dupatta Olive green printed A-line calf-length kurta, has a mandarin collar, three-quarter sleeves, flared hem Mustard brown solid churidar, has an elasticated waistband Mustard brown solid dupatta, had a printed border",Clothing/Women/Kurta Sets/Anouk/More by Anouk,1119,2799,Women,Out of Stock
XXL,Biba,polyester,Green,A-Line Kurta,"Green printed A-line kurta comes with a printed inner, has a v-neck, three quarter sleeve, straight hem
The model (height 5'8'') is wearing a size S
100% polyester   Dry Clean
Add class to your look with this appealing A-line kurta from Biba.  Pair this chic and traditional look with this green kurta, simple leggings and minimal jewellery.","Green printed A-line kurta comes with a printed inner, has a v-neck, three quarter sleeve, straight hem",Clothing/Women/Kurtas/Biba/More by Biba,1139,1899,Women,In Stock
L,Shree,Cotton,Black,Straight Kurta,"Black and off-white printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits
The model (height 5'8"") is wearing a size S
This opulent kurta from Shree will help you maintain an elegant look all year long.  Dress up for your next family event by pairing this black piece with your best Kolhapuris and simple jewellery.
Cotton Hand-wash","Black and off-white printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits",Clothing/Women/Kurtas/Shree/More by Shree,599,1199,Women,Out of Stock
25,HERE&NOW,cotton,Yellow | Brown | Mustard,Cropped Palazzo,"A pair of mustard yellow and brown printed woven wide leg palazzos, has an elasticated waistband with drawstring fastening, two pockets
The model (height 5'8"") is wearing a size 27
Stay trendy and cool this summer with these classy mustard palazzos from HERE&amp;NOW.  Create a chic, versatile look by pairing them with a sleek tank and gladiator sandals.
100% cotton Machine-wash","A pair of mustard yellow and brown printed woven wide leg palazzos, has an elasticated waistband with drawstring fastening, two pockets",Clothing/Women/Palazzos/HERE&NOW/More by HERE&NOW,399,999,Women,Out of Stock
M,Sangria,polyester,Pink | Fuchsia,Straight Kurta,"Designed with floral embroidery on front and around neckline is this fuchsia pink coloured kurta from Sangria. A must-have in your ethnic wear collection, this kurta has a bright colour that will add oodles of charm to your look. Made from polyester, this kurta is comfortable to wear with leggings.Basic designContrast floral embroidered design around mandarin collar and on frontLong side slitsBasic back design   
This model has a height  5'8"", bust 31"", waist  27"", hips 34"" and is wearing size S
100% polyester Hand-wash","Designed with floral embroidery on front and around neckline is this fuchsia pink coloured kurta from Sangria. A must-have in your ethnic wear collection, this kurta has a bright colour that will add oodles of charm to your look. Made from polyester, this kurta is comfortable to wear with leggings.Basic designContrast floral embroidered design around mandarin collar and on frontLong side slitsBasic back design   ",Clothing/Women/Kurtas/Sangria/More by Sangria,749,1499,Women,In Stock
L,Soch,Cotton,Olive | Green,Straight Kurti," Olive green solid straight kurti, has a round neck, button detail on the front, three-quarter sleeves, side slits and straight hem
The model (height 5'8"") is wearing size S
Pure Cotton Dry clean
Flaunt a fresh ethnic style by wearing this fashionable kurti for women from Soch. A comfy pair of black palazzos and cone heels will complete your look in the best way."," Olive green solid straight kurti, has a round neck, button detail on the front, three-quarter sleeves, side slits and straight hem",Clothing/Women/Kurtis/Soch/More by Soch,898,898,Women,Out of Stock
L,Anouk,Polyester,Black,Straight Kurta,"Black printed straight kurta, has a shirt collar, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
You'll love the elegant design and fit of this stunning kurta from Anouk.  For your next dinner party or family gathering, this black piece pairs well with dark leggings and chic flats.
Polyester  Machine-wash","Black printed straight kurta, has a shirt collar, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Anouk/More by Anouk,599,1999,Women,In Stock
XXL,Shree,Liva,Red | Grey,Maxi Dress,"Grey, red and black printed woven maxi dress, has a mandarin collar, three-quarter sleeves, flared hem
Semi-Fit  The model (height 5'8"") is wearing a size S
Show off your great sense of fashion when you opt for this Shree dress.  Wear your printed grey piece with strappy heels and your favourite clutch for a night out on the town with your friends.
100% LivaHand-wash","Grey, red and black printed woven maxi dress, has a mandarin collar, three-quarter sleeves, flared hem",Clothing/Women/Dresses/Shree/More by Shree,899,1799,Women,Out of Stock
